time_s,ref_deg,actual_deg,error_deg,current_A
1.960000000000000075e-01,1.516421052631579114e+00,6.239841564884976988e-01,8.924368961430814151e-01,2.021661580631167965e+01
1.970000000000000084e-01,1.531934210526316065e+00,6.332514983062265124e-01,8.986827122200895523e-01,2.023013663163863995e+01
1.980000000000000093e-01,1.547526315789473861e+00,6.425978268759818812e-01,9.049284889134917576e-01,2.024354281226208130e+01
1.990000000000000102e-01,1.563197368421052724e+00,6.520233081376950457e-01,9.111740602833577896e-01,2.025683505410667351e+01
2.000000000000000111e-01,1.578947368421052655e+00,6.615281065803927385e-01,9.174192618406599165e-01,2.027001405913990340e+01
2.010000000000000120e-01,1.594776315789473875e+00,6.711123852513405375e-01,9.236639305381333376e-01,2.028308052539050266e+01
2.020000000000000129e-01,1.610684210526316162e+00,6.807763057651369243e-01,9.299079047611790161e-01,2.029603514696677635e+01
2.030000000000000138e-01,1.626671052631579073e+00,6.905200283127583827e-01,9.361510243188205793e-01,2.030887861407488160e+01
2.040000000000000147e-01,1.642736842105263495e+00,7.003437116705545362e-01,9.423931304347088478e-01,2.032161161303699259e+01
2.050000000000000155e-01,1.658881578947368762e+00,7.102475132091965460e-01,9.486340657381722163e-01,2.033423482630941947e+01
2.060000000000000164e-01,1.675105263157894875e+00,7.202315889025752149e-01,9.548736742553196599e-01,2.034674893250063121e+01
2.070000000000000173e-01,1.691407894736842499e+00,7.302960933366519081e-01,9.611118014001904797e-01,2.035915460638921104e+01
2.080000000000000182e-01,1.707789473684210746e+00,7.404411797182617327e-01,9.673482939659489022e-01,2.037145251894171594e+01
2.089999999999999913e-01,1.724249999999999616e+00,7.506669998838678692e-01,9.735830001161317471e-01,2.038364333733048994e+01
2.099999999999999922e-01,1.740789473684210220e+00,7.609737043082699381e-01,9.798157693759403930e-01,2.039572772495137443e+01
2.109999999999999931e-01,1.757407894736842113e+00,7.713614421132635179e-01,9.860464526235784843e-01,2.040770634144134732e+01
2.119999999999999940e-01,1.774105263157894630e+00,7.818303610762543654e-01,9.922749020816401533e-01,2.041957984269610904e+01
2.129999999999999949e-01,1.790881578947368435e+00,7.923806076388242303e-01,9.985009713085443162e-01,2.043134888088755474e+01
2.139999999999999958e-01,1.807736842105262642e+00,8.030123269152511511e-01,1.004724515190011491e+00,2.044301410448120038e+01
2.149999999999999967e-01,1.824671052631578805e+00,8.137256627009833432e-01,1.010945389930595573e+00,2.045457615825352349e+01
2.159999999999999976e-01,1.841684210526315812e+00,8.245207574810661244e-01,1.017163453045249799e+00,2.046603568330923295e+01
2.169999999999999984e-01,1.858776315789473443e+00,8.353977524385239883e-01,1.023378563350949566e+00,2.047739331709845345e+01
2.179999999999999993e-01,1.875947368421052808e+00,8.463567874626968246e-01,1.029590580958355872e+00,2.048864969343385667e+01
2.190000000000000002e-01,1.893197368421052795e+00,8.573980011575302873e-01,1.035799367263522397e+00,2.049980544250770009e+01
2.200000000000000011e-01,1.910526315789473850e+00,8.685215308498207554e-01,1.042004784939652984e+00,2.051086119090879833e+01
2.210000000000000020e-01,1.927934210526315972e+00,8.797275125974166610e-01,1.048206697928899533e+00,2.052181756163941628e+01
2.220000000000000029e-01,1.945421052631578718e+00,8.910160811973731887e-01,1.054404971434205196e+00,2.053267517413210541e+01
2.230000000000000038e-01,1.962986842105263197e+00,9.023873701940642311e-01,1.060599471911198854e+00,2.054343464426645482e+01
2.240000000000000047e-01,1.980631578947368521e+00,9.138415118872483811e-01,1.066790067060120029e+00,2.055409658438576415e+01
2.250000000000000056e-01,1.998355263157894912e+00,9.253786373400919585e-01,1.072976625817802843e+00,2.056466160331366311e+01
2.260000000000000064e-01,2.016157894736842149e+00,9.369988763871478499e-01,1.079159018349694632e+00,2.057513030637063878e+01
2.270000000000000073e-01,2.034039473684210453e+00,9.487023576422903837e-01,1.085337116041919847e+00,2.058550329539051305e+01
2.280000000000000082e-01,2.052000000000000046e+00,9.604892085066071283e-01,1.091510791493393029e+00,2.059578116873682063e+01
2.290000000000000091e-01,2.070039473684210485e+00,9.723595551762470590e-01,1.097679918507963537e+00,2.060596452131915512e+01
